rootbeerid,brandid,containertype,locationid,purchasedate
100054,10001,Bottle,2,2014-07-01
100081,10001,Can,2,2014-07-14
100019,10001,Can,2,2014-08-12
100080,10001,Can,2,2014-08-24
100135,10001,Bottle,2,2014-09-11
100032,10001,Can,2,2014-10-16
100066,10001,Bottle,1,2014-11-19
100082,10001,Can,1,2014-12-02
100093,10001,Bottle,2,2014-12-03
100122,10001,Can,1,2014-12-11
100105,10001,Can,1,2014-12-13
100016,10001,Bottle,2,2014-12-23
100061,10001,Bottle,1,2014-12-26
100099,10001,Bottle,1,2014-12-27
100095,10001,Bottle,2,2015-01-09
100114,10001,Bottle,2,2015-01-15
100086,10001,Bottle,2,2015-02-10
100020,10001,Can,1,2015-02-11
100119,10001,Can,1,2015-02-12
100012,10001,Can,2,2015-02-15
100109,10001,Bottle,2,2015-02-20
100029,10001,Can,1,2015-02-20
100010,10001,Bottle,2,2015-02-22
100111,10001,Can,1,2015-02-25
100005,10001,Can,2,2015-02-25
100138,10001,Bottle,1,2015-02-26
100060,10001,Bottle,1,2015-02-28
100048,10001,Bottle,2,2015-03-02
100037,10001,Can,2,2015-03-02
100071,10001,Bottle,2,2015-03-09
100129,10001,Bottle,1,2015-03-09
100004,10001,Can,1,2015-03-10
100101,10001,Can,2,2015-03-11
100056,10001,Bottle,2,2015-03-29
100028,10001,Can,1,2015-03-30
100053,10001,Bottle,2,2015-04-03
100137,10001,Bottle,2,2015-04-08
100068,10001,Can,1,2015-04-11
100027,10001,Can,2,2015-04-14
100058,10001,Bottle,2,2015-04-15
100052,10001,Bottle,1,2015-04-16
100076,10001,Bottle,2,2015-04-19
100031,10001,Bottle,2,2015-04-25
100011,10001,Can,2,2015-04-26
100145,10001,Bottle,2,2015-05-03
100042,10001,Can,1,2015-05-08
100069,10001,Bottle,2,2015-05-18
100097,10001,Can,1,2015-05-20
100106,10001,Bottle,1,2015-05-24
100002,10001,Can,2,2015-05-24
100017,10001,Bottle,1,2015-05-29
100040,10001,Can,2,2015-06-01
100084,10001,Can,2,2015-06-06
100107,10001,Bottle,1,2015-06-06
100024,10001,Can,1,2015-06-07
100131,10001,Bottle,1,2015-06-08
100018,10001,Can,1,2015-06-08
100013,10001,Can,1,2015-06-08
100134,10001,Can,2,2015-06-09
100065,10001,Bottle,1,2015-06-12
100078,10001,Can,2,2015-06-14
100036,10001,Bottle,1,2015-06-17
100092,10001,Bottle,2,2015-06-17
100085,10001,Can,1,2015-06-23
100035,10001,Bottle,1,2015-06-24
100026,10001,Bottle,2,2015-06-26
100050,10001,Can,2,2015-06-30
100141,10001,Bottle,2,2015-07-03
100000,10001,Bottle,1,2015-07-03
100070,10001,Bottle,2,2015-07-08
100121,10001,Bottle,1,2015-07-11
100130,10001,Can,1,2015-07-11
100072,10001,Bottle,1,2015-07-12
100079,10001,Can,1,2015-07-16
100126,10001,Can,2,2015-07-19
100136,10001,Can,1,2015-07-20
100146,10001,Can,2,2015-07-22
100120,10001,Bottle,2,2015-07-30
100043,10001,Bottle,1,2015-07-31
100118,10001,Can,2,2015-08-02
100124,10001,Can,2,2015-08-03
100125,10001,Can,1,2015-08-05
100015,10001,Bottle,2,2015-08-05
100045,10001,Can,2,2015-08-05
100089,10001,Bottle,2,2015-08-09
100062,10001,Can,2,2015-08-11
100133,10001,Can,2,2015-08-12
100049,10001,Bottle,2,2015-08-13
100059,10001,Can,1,2015-08-14
100014,10001,Can,2,2015-08-14
100003,10001,Can,2,2015-08-15
100139,10001,Can,1,2015-08-18
100091,10001,Bottle,1,2015-08-23
100140,10001,Bottle,1,2015-08-29
100116,10001,Can,1,2015-08-29
100046,10001,Bottle,1,2015-09-03
100142,10001,Bottle,2,2015-09-03
100022,10001,Can,1,2015-09-04
100047,10001,Bottle,1,2015-09-04
100073,10001,Bottle,1,2015-09-05
100008,10001,Bottle,1,2015-09-07
100100,10001,Bottle,2,2015-09-11
100123,10001,Bottle,1,2015-09-13
100044,10001,Bottle,2,2015-09-14
100034,10001,Bottle,2,2015-09-15
100039,10001,Bottle,1,2015-09-20
100102,10001,Can,2,2015-09-23
100038,10001,Can,2,2015-10-09
100088,10001,Bottle,1,2015-10-13
100041,10001,Can,2,2015-10-14
100064,10001,Can,1,2015-10-21
100090,10001,Bottle,2,2015-10-22
